task,model,width,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260916,trial0,3265,1633,2775,490,0.866769,0.828571,0.804654,24,30,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260916,trial1,3265,1633,2775,490,0.862787,0.820408,0.807103,22,28,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260916,trial2,3266,1632,2776,490,0.843233,0.8,0.780025,29,35,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260917,trial0,3265,1633,2775,490,0.884533,0.832653,0.825475,27,33,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260917,trial1,3265,1633,2775,490,0.861562,0.810204,0.802817,21,27,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260917,trial2,3266,1632,2776,490,0.871709,0.842857,0.797794,23,29,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260918,trial0,3265,1633,2775,490,0.873201,0.828571,0.820576,21,27,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260918,trial1,3265,1633,2775,490,0.87075,0.814286,0.827924,27,33,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,trial_random,20260918,trial2,3266,1632,2776,490,0.869565,0.82449,0.797181,28,34,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260916,run0,3262,1636,2772,490,0.862354,0.84898,0.791565,22,28,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260916,run1,3269,1629,2778,491,0.849495,0.841141,0.809699,19,25,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260916,run2,3265,1633,2775,490,0.856968,0.832653,0.805266,18,24,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260917,run0,3262,1636,2772,490,0.876763,0.826531,0.812958,30,36,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260917,run1,3269,1629,2778,491,0.874579,0.85336,0.820749,20,26,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260917,run2,3265,1633,2775,490,0.8634,0.826531,0.791182,22,28,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260918,run0,3262,1636,2772,490,0.851625,0.808163,0.800733,17,23,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260918,run1,3269,1629,2778,491,0.89171,0.802444,0.815224,39,40,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,run_disjoint,20260918,run2,3265,1633,2775,490,0.863093,0.820408,0.806491,22,28,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj0,3242,1656,2750,492,0.879704,0.796748,0.804952,37,40,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj1,3280,1618,2785,495,0.877439,0.814141,0.764524,27,33,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj2,3274,1624,2767,507,0.869884,0.869822,0.818966,25,31,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj0,3224,1674,2734,490,0.878722,0.822449,0.831541,33,39,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj1,3287,1611,2785,502,0.880134,0.810757,0.763501,18,24,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj2,3285,1613,2795,490,0.876104,0.789796,0.796032,20,26,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj0,3227,1671,2735,492,0.83886,0.780488,0.808498,16,22,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj1,3288,1610,2793,495,0.895073,0.848485,0.778882,34,40,2770
imagery_left_right_fist,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj2,3281,1617,2786,495,0.873514,0.80404,0.820037,26,32,2770
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260916,trial0,3265,1633,2775,490,0.934763,0.755102,0.725658,14,20,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260916,trial1,3265,1633,2775,490,0.953446,0.757143,0.746479,20,26,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260916,trial2,3266,1632,2776,490,0.943968,0.742857,0.738971,17,23,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260917,trial0,3265,1633,2775,490,0.881164,0.718367,0.738518,9,15,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260917,trial1,3265,1633,2775,490,0.865237,0.720408,0.69504,10,16,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260917,trial2,3266,1632,2776,490,0.928965,0.777551,0.73223,13,19,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260918,trial0,3265,1633,2775,490,0.932006,0.763265,0.73117,14,20,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260918,trial1,3265,1633,2775,490,0.940888,0.757143,0.738518,16,22,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260918,trial2,3266,1632,2776,490,0.938763,0.728571,0.745711,15,21,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run0,3262,1636,2772,490,0.879828,0.744898,0.722494,10,16,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run1,3269,1629,2778,491,0.895993,0.733198,0.731737,10,16,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run2,3265,1633,2775,490,0.942726,0.789796,0.744642,17,23,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run0,3262,1636,2772,490,0.937155,0.740816,0.74511,17,23,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run1,3269,1629,2778,491,0.936984,0.765784,0.739104,13,19,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run2,3265,1633,2775,490,0.950995,0.746939,0.736681,19,25,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run0,3262,1636,2772,490,0.887799,0.716327,0.745721,9,15,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run1,3269,1629,2778,491,0.893851,0.739308,0.73849,12,18,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run2,3265,1633,2775,490,0.911485,0.75102,0.725658,11,17,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj0,3242,1656,2750,492,0.868908,0.662602,0.727053,8,14,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj1,3280,1618,2785,495,0.895732,0.729293,0.692213,9,15,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj2,3274,1624,2767,507,0.952046,0.739645,0.730911,24,30,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj0,3224,1674,2734,490,0.92866,0.783673,0.741935,13,19,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj1,3287,1611,2785,502,0.912078,0.691235,0.692117,12,18,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj2,3285,1613,2795,490,0.906849,0.689796,0.698698,15,21,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj0,3227,1671,2735,492,0.913232,0.721545,0.718731,13,19,106482
imagery_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj1,3288,1610,2793,495,0.948601,0.767677,0.709938,18,24,106482
