dataset,task,model,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,4,288,0.565972
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,5,288,0.513889
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,6,288,0.659722
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,7,288,0.611111
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,8,288,0.75
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,9,288,0.677083
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,1,288,0.795139
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,2,288,0.527778
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,3,288,0.809028
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,4,288,0.59375
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,5,288,0.513889
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,6,288,0.65625
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,7,288,0.579861
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,8,288,0.857639
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,9,288,0.694444
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,1,288,0.850694
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,2,288,0.576389
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,3,288,0.923611
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,4,288,0.739583
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,5,288,0.604167
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,6,288,0.684028
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,7,288,0.704861
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,8,288,0.923611
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,9,288,0.791667
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,1,288,0.847222
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,2,288,0.555556
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,3,288,0.944444
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,4,288,0.756944
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,5,288,0.569444
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,6,288,0.6875
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,7,288,0.722222
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,8,288,0.930556
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,9,288,0.78125
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,1,288,0.847222
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,2,288,0.534722
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,3,288,0.9375
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,4,288,0.739583
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,5,288,0.548611
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,6,288,0.6875
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,7,288,0.631944
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,8,288,0.913194
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,9,288,0.784722
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,1,288,0.840278
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,2,288,0.559028
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,3,288,0.940972
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,4,288,0.736111
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,5,288,0.628472
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,6,288,0.711806
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,7,288,0.753472
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,8,288,0.916667
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,9,288,0.774306
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,1,288,0.826389
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,2,288,0.583333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,3,288,0.923611
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,4,288,0.736111
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,5,288,0.600694
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,6,288,0.736111
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,7,288,0.725694
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,8,288,0.947917
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,9,288,0.78125
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,1,288,0.854167
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,2,288,0.53125
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,3,288,0.930556
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,4,288,0.729167
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,5,288,0.583333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,6,288,0.701389
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,7,288,0.71875
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,8,288,0.923611
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,9,288,0.791667
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,1,288,0.84375
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,2,288,0.576389
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,3,288,0.947917
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,4,288,0.75
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,5,288,0.607639
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,6,288,0.704861
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,7,288,0.711806
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,8,288,0.934028
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,9,288,0.795139
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,1,288,0.833333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,2,288,0.583333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,3,288,0.944444
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,4,288,0.756944
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,5,288,0.583333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,6,288,0.684028
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,7,288,0.690972
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,8,288,0.920139
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260918,9,288,0.809028
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,1,288,0.833333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,2,288,0.552083
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,3,288,0.944444
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,4,288,0.729167
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,5,288,0.600694
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,6,288,0.694444
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,7,288,0.694444
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,8,288,0.9375
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260919,9,288,0.791667
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,1,288,0.815972
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,2,288,0.545139
