dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s2_h1,30,15,0.933333,0.8
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s2_h1,30,15,1,0.933333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s2_h2,30,15,1,0.733333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s2_h2,30,15,1,0.866667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s3_h0,30,15,1,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s3_h0,30,15,1,0.6
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s3_h1,30,15,1,0.4
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s3_h1,30,15,1,0.466667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s3_h2,30,15,0.966667,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s3_h2,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s4_h0,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s4_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s4_h1,30,15,0.966667,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s4_h1,30,15,1,0.8
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s4_h2,30,15,0.966667,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s4_h2,30,15,1,0.466667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s5_h0,30,15,1,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s5_h0,30,15,1,0.466667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s5_h1,30,15,1,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s5_h1,30,15,1,0.533333
